time,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11
257,31.96,22.83,8.36,7.99,10.36,3.15,2.84,2.16,4.43,8.40,-0.72
258,32.37,22.46,8.81,7.40,11.89,1.90,3.44,1.23,3.19,7.87,0.35
259,33.49,23.04,9.45,7.86,10.73,2.27,3.07,1.56,4.43,7.43,-0.33
260,34.79,24.90,9.79,8.12,11.24,1.28,3.23,2.26,4.66,7.56,-0.46
261,36.18,25.00,11.17,7.97,11.49,2.35,3.55,2.19,3.83,8.88,-0.95
262,36.81,25.20,11.02,8.48,12.99,2.56,2.94,1.73,4.60,9.40,-1.08
263,38.25,27.01,11.58,9.73,13.47,2.85,3.94,3.04,5.08,8.27,-0.82
264,40.29,27.83,10.70,9.55,14.62,2.34,3.38,2.29,4.61,8.55,-0.57
265,42.19,29.20,12.53,9.81,13.33,3.03,3.70,2.42,5.96,8.95,-0.38
266,42.90,29.56,12.35,10.16,13.95,3.05,3.68,2.40,6.12,10.54,-0.21
267,45.32,31.49,12.71,11.25,15.04,2.96,4.64,1.96,5.53,11.07,-0.72
268,47.08,32.47,12.79,11.00,15.61,3.42,4.77,2.35,6.85,10.16,-0.46
269,48.75,34.11,13.09,11.85,16.37,3.53,3.83,3.09,6.19,12.09,-0.66
270,50.12,34.94,14.17,12.53,16.51,3.49,5.41,2.23,5.86,12.03,-1.46
271,51.41,36.10,13.46,12.26,17.40,3.93,4.69,3.07,7.14,11.80,0.32
272,53.07,38.15,14.44,12.56,17.89,3.11,4.67,2.44,6.50,12.09,-2.05
273,54.52,37.80,15.93,13.93,18.03,3.69,4.93,1.94,6.39,13.27,0.04
274,56.84,40.13,16.35,14.17,19.32,3.96,6.41,3.18,7.44,13.08,-0.73
275,58.13,40.39,16.92,13.09,18.97,3.12,5.59,3.57,8.26,12.91,-1.36
276,60.13,42.69,17.98,14.29,20.66,4.01,6.32,3.01,7.66,14.05,-0.23
277,61.60,42.83,16.67,14.84,21.25,3.36,5.01,3.16,7.40,14.43,0.57
278,62.96,44.47,18.22,14.64,21.08,4.05,5.91,4.74,7.95,14.37,0.57
279,64.62,44.43,18.21,15.06,22.19,4.36,5.85,2.70,8.24,15.86,-0.91
280,64.68,45.43,18.78,15.77,22.59,4.20,6.50,4.04,8.42,15.74,-1.42
281,66.71,46.81,17.91,16.45,21.97,3.88,5.58,4.51,8.57,15.04,-0.22
282,67.96,47.84,18.16,16.54,22.99,4.37,6.20,3.37,8.50,16.15,-0.97
283,68.18,47.91,19.44,16.52,23.54,4.00,5.49,3.69,8.46,15.63,-0.49
284,68.79,48.81,19.23,15.63,22.93,3.79,6.96,3.52,8.92,15.91,-1.03
285,69.20,48.98,19.82,16.62,23.20,3.62,6.67,3.20,9.31,16.10,-0.51
286,69.50,49.26,19.61,17.02,23.84,4.01,5.54,4.08,8.24,15.67,-0.75
287,70.26,48.12,20.33,17.88,24.55,4.42,7.04,4.28,9.31,16.75,-0.77
288,70.24,48.44,19.79,17.02,23.00,4.90,6.51,3.44,8.31,15.37,-0.97
289,70.17,48.73,20.13,17.28,24.53,3.43,6.83,4.49,8.00,16.18,-0.95
290,69.50,49.42,20.06,17.26,22.98,4.62,6.75,4.35,9.83,16.27,-0.70
291,69.10,49.06,19.64,16.60,22.87,4.98,5.57,4.22,8.72,15.83,0.09
292,68.09,48.10,20.02,16.69,23.20,4.66,6.46,4.32,8.78,16.46,-1.15
