time,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11
260,34.94,23.85,9.11,7.82,10.62,2.49,3.47,1.00,4.93,7.72,-1.09
261,35.34,25.68,10.05,8.57,12.51,1.89,4.08,1.36,3.91,7.96,-0.75
262,37.73,25.38,10.63,8.64,11.77,2.16,3.71,2.23,5.54,8.93,-1.26
263,38.31,27.12,10.61,8.76,13.79,2.71,3.95,1.76,4.63,8.04,-0.50
264,39.80,28.52,11.16,9.04,13.73,2.17,3.01,2.15,4.54,9.16,-0.92
265,41.71,28.43,11.62,10.17,13.29,2.64,3.55,1.48,5.40,9.39,-1.32
266,43.09,30.68,12.22,10.20,14.96,3.44,4.35,2.41,5.40,10.29,0.40
267,44.27,31.79,11.86,11.27,15.76,3.88,4.14,2.47,5.47,10.66,-0.99
268,47.11,32.80,13.86,11.37,15.00,2.97,4.27,2.75,5.63,10.77,-0.30
269,48.26,33.94,13.67,12.58,16.53,3.70,3.54,3.73,6.65,11.09,-1.69
270,49.91,35.42,14.69,11.34,17.45,2.80,4.37,2.45,6.84,12.59,-1.42
271,51.52,36.67,15.44,12.18,17.45,3.94,4.63,2.33,6.79,11.94,-0.06
272,54.11,38.10,14.89,12.98,18.47,3.55,4.33,2.87,6.65,12.32,-0.81
273,55.96,37.84,16.14,13.71,17.98,3.50,6.38,3.91,7.33,14.09,-0.18
274,57.40,39.00,16.20,13.20,18.26,3.40,5.36,2.41,7.29,12.09,-0.78
275,58.54,39.89,16.27,14.88,20.11,3.83,5.78,2.15,6.76,12.92,-0.55
276,59.52,41.81,16.93,13.51,20.12,4.59,5.27,3.04,7.02,13.60,-0.54
277,61.27,42.79,17.43,14.96,19.90,3.95,5.90,4.82,8.13,14.41,-0.62
278,62.27,43.81,17.44,15.94,20.88,4.42,6.40,3.32,6.69,14.60,-1.27
279,64.27,44.11,17.77,15.78,21.00,3.95,5.40,2.73,8.06,15.11,-0.78
280,64.56,46.85,18.16,15.12,21.47,3.75,5.68,3.83,8.18,14.40,-1.06
281,66.71,46.47,19.50,15.74,22.08,3.48,6.46,3.76,8.24,15.62,-0.35
282,67.84,46.33,18.60,17.23,23.37,4.53,6.09,3.75,8.97,15.40,-0.97
283,68.34,48.07,18.41,16.80,21.92,4.25,6.35,3.37,8.40,16.10,-1.59
284,68.65,48.25,19.32,16.51,23.61,4.23,6.67,3.80,8.58,15.54,-0.96
285,69.98,48.68,19.85,15.50,23.85,4.03,6.89,4.05,9.86,15.29,-1.69
286,69.10,49.15,19.45,17.28,23.32,4.42,6.53,3.76,8.11,15.85,-1.46
287,70.04,48.66,18.72,16.43,23.26,4.16,6.48,4.89,8.99,15.98,-0.30
288,70.88,49.18,20.19,17.41,24.17,4.22,6.84,3.51,9.21,16.40,0.18
289,69.50,49.41,19.52,16.26,22.62,5.04,5.58,4.02,8.74,16.55,-1.48
290,69.29,48.54,19.81,16.87,23.42,4.80,6.35,3.95,8.60,15.85,-0.33
291,68.93,48.95,18.80,16.72,24.46,4.14,7.20,4.14,8.60,15.93,-0.75
292,69.16,48.52,19.14,16.16,22.89,5.42,5.85,4.06,9.57,16.41,-1.22
